tw_id,text,location,long,lat
973016056003358721,"We were pressured to sell people Sophos anti-virus, the big selling point with that software was that if you get a? https://t.co/46Cpt2jjOc","Santa Cruz, CA",,
973015537633513473,"In fact, the first time I got rid of that exact problem - the FBI virus, (it takes over your screen and says you ha? https://t.co/AhgPGFCG5V","Santa Cruz, CA",,
973015439985881088,"For example, the company I worked for charged $150 for a virus removal. Viruses, like the FBI Virus, can be scary a? https://t.co/aKp9LtyOmH","Santa Cruz, CA",,
973012317188345856,@KimDotcom @cassidyphoenyx I wish I was smart enough to put a virus into Twitter and Facebook that would shut them down for good,Everywhere you think Im not,,
973006223967694848,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
973001548644040704,RT @aysham: The President unleashed a virus on this country and we'll have to stand together to show ALL other candidates that his behavior?,"Mare Island, CA",,
972998197202137088,"Every time I help my mother with her #Android phone, I find it loaded with Anti Virus apps that are malware. ?Happi? https://t.co/1zAanLi8v7","San Francisco, CA",,
972993355268476928,@briankoppelman When?s Cyrus The Virus coming to town?,"San Francisco, CA",,
972991214206111747,The President unleashed a virus on this country and we'll have to stand together to show ALL other candidates that? https://t.co/zThsjXEFuP,"San Francisco, CA",,
972989338572197889,"RT @Lnnie: ""Timothy Cunningham, 35, works as a commander in the U.S. Public Health Service and has responded to the Ebola virus and the Zik?",,,
972983551372251136,"RT @Lnnie: Warning of deadly flu virus that could kill millions across the globe https://t.co/WzFoIa4qk6
Who or what is causing this?",,,
972977281714020353,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt",London UK,,
972975547490775040,"RT @Debsval52: Drug peddling MILF/GILF
Not new to RP
Cheap rates on ""gear""
Bi (Male lean, picky about shemales)
Retweet and spread me like?",,,
972972432012189697,@MensHumor In the last show the virus should mutate so it turns even the living into zombies. Only it happens uneve? https://t.co/BEiDXKEoQi,Modesto ca,,
972970948075900928,"RT @Lnnie: Warning of deadly flu virus that could kill millions across the globe https://t.co/WzFoIa4qk6
Who or what is causing this?","Delaware, USA",,
972970291629408256,"Warning of deadly flu virus that could kill millions across the globe https://t.co/WzFoIa4qk6
Who or what is causing this?","Berkeley, CA",,
972954720536014849,@adamcbest DUMPs the ultimate victim&amp;chronic complainer. So tired of his bragging&amp;undercutting media or individuals? https://t.co/SwruK76Tyh,"Sacramento, CA",,
972950184983433216,?English has been a very successful virus.? https://t.co/9rM7yB4cY6,Twin Cities,,
972946361589972992,"I liked a @YouTube video https://t.co/FQoDXTIuiV How To Remove A Mac Computer Virus, Malware, Spyware, Maintenance, And Cleaning 2017","Sacramento, CA",,
972945546527768576,RT @LarryLLapin: #IARTG #SFRTG #ITRTG Adam would be Guinea pig to establish safety of his mutated virus expected to prevent cancer. Fearing?,Central NJ,,
972939500769996800,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972936241640599553,The hepatitis B virus causes liver inflammation and injury that over several decades can lead to #cirrhosis.,San Francisco,,
972933412238626817,"Analysis of the plan?s deprivation of sequestration, tendency representing virus extension, and incapacity to quiet? https://t.co/w4tK15nMJs","Oakland, California",,
972913261233389568,"PREVAIL VI: Identification of Host Genetic Factors Underlying Ebola Virus Disease Risk, Mortality, Long-term Sequel? https://t.co/H3nLwVqtcd","Monterey Bay, California",,
972910373119582208,"""To find the culprit virus, an international team of researchers from more than a dozen universities, aquariums,... https://t.co/c6GiRwfExW","MERCED, CALIFORNIA",,
972909365777784833,RT @nebulasio: Today?s drop in the crypto market is another reminder for us to focus on what?s most important: developing crash-proof block?,"California, USA",,
972903621254942720,RT @LarryLLapin: #IARTG #SFRTG #ITRTG Adam would be Guinea pig to establish safety of his mutated virus expected to prevent cancer. Fearing?,"East, England",,
972902986639970304,RT @LarryLLapin: #IARTG #SFRTG #ITRTG Adam would be Guinea pig to establish safety of his mutated virus expected to prevent cancer. Fearing?,"Muskegon, MI",,
972902598670888960,RT @justinsuntron: It is amazing! #TRON #TRX $TRX https://t.co/LefmGZjI5j,"California, USA",,
972901715715346433,#IARTG #SFRTG #ITRTG Adam would be Guinea pig to establish safety of his mutated virus expected to prevent cancer.? https://t.co/s3OxpYpzgD,"Lincoln, CA",,
972899383896309765,Manmade Polio Virus Vaccine Created Cancer of Today https://t.co/JHhkE6qzJY,"Santa Rosa, CA",,
972898915576987648,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",,,
972875654822875137,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","Austin, TX",,
972873033890152448,"?In early 2016, the yellow fever virus broke out of its usual pattern: limited spread by forest mosquito species fr? https://t.co/MhOQthBfNn","Davis, California",,
972863914085003264,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","Greeley, CO",,
972856499549581312,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",,,
972853557681569792,"Doctors find virus in a pond, use it to destroy antibiotic-resistant bacteria in? https://t.co/qVWos18pzY #TechText","San Francisco, CA USA",,
972850357108858880,"Doctors find virus in a pond, use it to destroy antibiotic-resistant bacteria in man's heart https://t.co/dfutvZStN5","Palo Alto, CA",,
972844957278130181,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","Warren, OH",,
972844268242030592,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",,,
972835626465812480,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",UK,,
972835048717258753,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?","St Bees, Cumbria, UK, European Union, Planet Earth!",,
972828456986722305,RT @NaduMadawala: @EXOL_BD @weareoneEXO Happy virus #EXOL #iHeartAwards #BestFanArmy @weareoneEXO,"Dhaka, Bangladesh",,
972827639395229696,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?","Sydney, Australia",,
972824892537106432,"RT @knowablemag: One of this century?s imminent health threats, some researchers say, isn?t a virus or bacteria ? it?s livers full of fat.?",RADelaide,,
972823416695816193,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?", GA,,
972814813377253387,"RT @Lnnie: CDC employee last seen 11 days ago when he left work early https://t.co/rXczDaI1ED via @nbcnews
Worked on  Ebola and Kika virus.?","rural Wisconsin, USA",,
