tweet_id,text,related
6004550306,"WHO warns of bird flu resurgence
: http://tinyurl.com/yd9subx",0
6003455112,"Nov 23, Cold Remedies; Getting Ready for the Cold and Flu Season: Cold remedies and preventive measures to create an... http://bit.ly/k0yds",0
6002109706,RT @letsrollforums: The War on You and Your Children Happening Right Now http://bit.ly/4CooEr Indonesia accuses US of bird flu plot http ...,0
5999019609,@kelliepickler Chinese years: 2007-Cow: Mad Cow Disease; 2008-Bird: Avian Flu; 2009-Pig: Swine Flu; 2010-Rooster: Any of you men worried?,1
5990798305,Getting ready to go get my Swine Flu Vaccine,0
4636047505,Canadian studies says people getting the seasonal flu shot are twice as likely to contract H1N1 http://bit.ly/4Ev3ho,0
5989718714,this flu season is a horrible. everyone is getting sick. makes you dislike winter that much more. winter is not fun when one has a cold.,1
5989668305,Swine Flu vs. Bird Flu vs. Zombie Flu http://bit.ly/4nuL7o,0
5989190910,RT @cherylp59: @orionbooks review : The Things That Keep Us Here - Carla Buckley :chilling tale of aftermath of bird flu pandemic http:/ ...,0
4326544708,@OhSoNattral swine flu!  Ppl are scared.,1
5234582604,Congressional Libs: only thing that can save us from Swine Flu is a Public Option - more disturbing fear mongering,0
5234529111,Duane Reade canceled their flu shot clinics! Now where am I going to get a flu shot? I'm not getting this bug!,1
5924817404,"Gucci Mane - Uptown Bird Flu.
http://www.mediafire.com/?jjj5ifzzjh3",0
6605798206,Fear of Flu: Shifting the Goalposts http://cli.gs/3vTmZ,1
5924620503,Oh yay! Getting chippy food for dinner. I'm getting a pizza supper. Maybe the grease will eat my flu bug ^_^,1
5923839812,Just returned from the Doctors. They clearly were thinking I had swine flu.. I actually have bronchitis.,1
5920030607,"@billmaher response 2 swine flu captures current state of Americans: still afraid, still ignorant. When will we wake up? #religulous !",1
5918871806,"Kellogg Is Getting In Trouble For Phrases Such As ?hikes Resistance?: With Swine Flu making.. http://bit.ly/55YFH6 #Health, #Nutrition",1
5918605010,vaccine 4 prevention of bird flu http://bit.ly/8Oq8pD,1
5917635500,My mum keeps going on about me getting the flu injection! No thanks,1
5917183609,Maanga needs to call Mbise to get the name of the vacination for the chickens to protect from bird flu. Given as a drop in the chicken's eye,1
5916627706,Reported Human Cases Of Bird Flu Or H5N1 Influenza http://parakeetbird.illblogs.com/reported-human-cases-of-bird-flu-or-h5n1-influenza/,0
5916224700,"Swine Flu Vaccine Egypt: health and safety--measures taken to combat bird an.. http://bit.ly/07Mt7FO
 Swine Flu Vaccine",0
