tw_id,text,location,long,lat
972962378685009921,The young lord of the manor spent countless hours tormenting the housekeepers daughter as well as inspiring her bud? https://t.co/8XqoMfx9j1,"Napa Valley, CA",,
972961466633498625,"? ""Roman Fever"" is contagious! Extended by popular demand for another fortnight! ????Read Edith Wharton's superbly-? https://t.co/T1qUyuLnmp","San Jose, CA",,
972957614001631232,"Okay. Apparently the hospital food in Hong Kong is better than me cooking while on fever 
Postmates should offer go? https://t.co/WTH77I7qEp","San Jose, CA",,
972955324796817409,Spring fever setting in? Send your kids out to play! Spring flag football is right around the corner! Our Rec Guide? https://t.co/BMWlV5SpGh,"Rocklin, CA",,
972940716618940417,Catch the Flipgrid fever! 15+ ways to use Flipgrid in your class https://t.co/LFelY6tVw1 #flipgridfever,"Davis, CA",,
972936733611487233,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/OPeDlncuaY","San Francisco, CA",,
972936489670594560,"It might be a 102F fever talking, but why there?s no congee place near downtown SJ?
Did the sick people all get a BF to cook for them?","San Jose, CA",,
972936474302799874,Don't miss Thursday Night Fever at @MountainWinery this week! https://t.co/VTf4A2h2kC #paloalto #disco https://t.co/oAC3jW1CK0,"Los Gatos, CA",,
972924781652729856,RT @youthradio: How Kylie Jenner Gave Me Baby Fever https://t.co/jDAuT2NzPb,"Whitesburg, KY",,
972922419378728960,RT @FOX40: Police: Man Arrested for Stealing a Car Drives to Court Apearance ? in a Stolen Car https://t.co/RptHFwjh1o https://t.co/d5ik30Y?,"Yuma,Arizona",,
972918482923851776,"All I?ve been doing is sleeping, my body aches..my fever hasn?t went down shit is ass ? and i have no appetite",somewhere you're not.,,
972914509307248640,so i woke up violently ill with a fever wyd?,san francisco ,,
972903244895805440,11:32am Will Remain - Black Milk - FEVER(Mass Appeal),"Berkeley, CA",,
972896403197378560,"Wherever you are now Henry Hope-Frost, I'm sending you ALL of this #fever right now my friend.  Surrounded by? https://t.co/Tl22pktWSo",The World,,
972889922150522881,Book Review: High Voltage: A Fever Novel Book 10 by Karen Marie Moning https://t.co/miTr2GbODx https://t.co/JFaipu7Nyz,Sunnyvale CA,,
972875878358122497,I?ve been having really bad head pain since Thursday &amp; now I have a fever ???,San Francisco ,,
972873033890152448,"?In early 2016, the yellow fever virus broke out of its usual pattern: limited spread by forest mosquito species fr? https://t.co/MhOQthBfNn","Davis, California",,
972871882549600256,Russian Health Watchdog Warns About Possible Lassa Fever Outbreak in Ghana  https://t.co/b3IrPwuIUh,San Francisco,,
972869006548971520,How Kylie Jenner Gave Me Baby Fever https://t.co/jDAuT2NzPb,"Oakland, CA",,
972867547660865536,Camila &amp; I went a full night without getting a fever yayyy!? #iHATEhavingtheflu,"Oakdale, CA",,
972864335084048385,@dynastyfootie @FFDynastyTrades Looks like someone caught a bad case of rookie fever! Call a doctor!,"Campbell, CA",,
972855517445050370,RT @VuduFans: Pitches be crazy. But they sound aca-awesome. https://t.co/uDktUsekyo Watch @PitchPerfect 3 on #Vudu today! https://t.co/5Cu5?,,,
972848654888271872,"RT @MsEllison4th: We have gold fever! ?? #EllisonsLightbulbs pretended to be Sam Brannan and made flyers announcing GOLD! 

I love what stu?",,,
972835151880343552,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",Sacramento,,
972831160375136257,Now playing Fever by The Cristeas!,"San Francisco, CA U.S.A.",,
972821914443010053,"RT @metaviv: Impersonated audio from ""doctors"". Realistic ""informational"" videos about the ""perils"" of the yellow fever vaccine?with millio?","Malmo, Sweden",,
972811845726822402,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/qZFn0kxjOE","San Francisco, CA",,
972791198225072129,?When I Grow Up - Fever Ray? https://t.co/HM4n6Sixns,"Santa Rosa, CA",,
972774029273673728,Ever think your fever starting to break so you have sex but then after you literally dead after cuz you was fucking? https://t.co/OTj93Rppve,"San Jose, CA",,
972773940991963136,RT @makayladaviss_: baby fever on TEN lmao,"Moreno Valley, CA",,
972767906458091525,I?m finally starting to sweat out my fever. Thank you modern medicine.,"San Jose, CA",,
972758923508727809,baby fever on TEN lmao,"Sacramento, CA",,
972743454135496704,"We have gold fever! ?? #EllisonsLightbulbs pretended to be Sam Brannan and made flyers announcing GOLD! 

I love wh? https://t.co/Js1AS9Yxid","Roseville, CA",,
972742708614828032,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972741262049656832,im either sick with a fever or im dying ?,"Hayward, CA",,
972737952311889920,"RT @metaviv: Impersonated audio from ""doctors"". Realistic ""informational"" videos about the ""perils"" of the yellow fever vaccine?with millio?",Berlin,,
972734349220163585,"RT @metaviv: Impersonated audio from ""doctors"". Realistic ""informational"" videos about the ""perils"" of the yellow fever vaccine?with millio?",Somewhere between URLs & IRLs,,
972730263389089792,I have hairless cat fever so bad?,,,
972728396894502912,RT @NaniV98: I?m give y?all baby fever ? ? https://t.co/gOMNgOcuV6,,,
972724906399010816,"RT @metaviv: Impersonated audio from ""doctors"". Realistic ""informational"" videos about the ""perils"" of the yellow fever vaccine?with millio?",DC & NYC,,
972722138179252226,"Impersonated audio from ""doctors"". Realistic ""informational"" videos about the ""perils"" of the yellow fever vaccine?? https://t.co/aUd0GvNsL5","San Francisco, CA",,
972716021936046080,RT @quezybobanga_: Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any k?,"California, USA",,
972710821259370497,"RT @MindShiftKQED: How does a school engage a senior in late April when students are grappling with spring fever?

?When a teacher lets go?","St. Louis, MO",,
972708271621537792,@iMOisXia Oooo typhoid is tooo gattiya fever ?? get well soon,twin cities,,
972703930189623296,"Completed my annual flu + paranoia ritual today: woke up with fever and headache, spent 3 hours feeling convinced t? https://t.co/aDbqdllmeB","Sacramento, CA",,
972691311307427840,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","Omaha",,
972690470965977088,RT @MountainWinery: Thursday Night Fever on March 15th! Info: https://t.co/s7NgayRLZz https://t.co/nOqgbhpbMs,Silicon Valley,,
972687388630634497,Babysitting my boyfriend?s almost 2 year old nephew and my god...the baby fever has set in.,"Citrus Heights, CA.",,
972686517310177280,#JessicaJones fever!,"San Francisco, CA",,
972681999776407553,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/alUUwxBS9n","San Francisco, CA",,
972681986065055744,"@SykesCharlie Yeah, some Saturday Night Fever happening on FOX tonight","Silicon Valley, USA",,
972674879110529024,"RT @MadMaxFlapper: Starve a cold, feed a fever, ""Precious"" your period",San Francisco,,
972654553014382595,"Does your newborn have a fever?
https://t.co/nI0ApIHmDk [#VIDEO] https://t.co/kECeMak0YJ","Santa Rosa, CA",,
972650177084366848,"everyone?s always talking about ?baby fever? but all ty &amp; i send each other is puppy/dog videos, those or our future babies ?","Vallejo, CA",,
972650147187367937,RT @quezybobanga_: Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any k?,"California, USA",,
972646470116630528,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972641126367641600,"I wonder if HomePod is tuned using something just like this
Even my guts is vibrating, and it?s not because of the fever","San Jose, CA",,
972630742109913088,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?","Genk, Belgium",,
972629615519850496,"RT @YGfernandeez: If y?all saw any Little Mexican cousins or siblings running around with a grill like this , just know :
baby fever flying?",,,
972625681938075649,Tonight is Saturday Night Fever! We're thrilled to see our entire community at tonight's spring event.? https://t.co/g0Gop6v7m7,Santa Clara County,,
972625164616613888,"Let me use the anti vaccine logic on my current fever:
Doing taxes require sitting, sitting is bad for you. I got a? https://t.co/MVYn1o2l4Q","San Jose, CA",,
972620959365525507,Feeding my #ElectricCar fever with @Volkswagen #ElectrifyAmerica #DiscoverAndDriveTour at the @ArdenFair mall https://t.co/iCgkmGPWmk,"Sacramento, CA",,
972613872119988224,@neverseenitshow I see it as a cross between ?Cabin Fever? and ?Grease? - amirite?,"San Francisco, CA",,
972610510695759873,RT @quezybobanga_: Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any k?,,,
972608586697224193,I?m give y?all baby fever ? ? https://t.co/gOMNgOcuV6,"Oakland, CA",,
972606247303184384,"Aaaand now ladies and gentlemen, a fever.

No wonder I feel like crappity crap crap crap","San Mateo, CA",,
972603665256275970,"RT @CirrhosisRemedy: Cirrhosis symptoms: itchy skin, fluid retention, a brownish or orange tint to the urine, light colored stools, blood i?",Norfolk uk ,,
972602767230545926,"Cirrhosis symptoms: itchy skin, fluid retention, a brownish or orange tint to the urine, light colored stools, blood in the stool, fever",San Francisco,,
972595548166373376,I have doggy fever ??,"Sacramento, CA",,
972587077949800448,RT @quezybobanga_: Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any k?,12.27.17,,
972585767905107968,RT @quezybobanga_: Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any k?,,,
972584937579724800,Keep that Baby fever shit away from me. I wanna be at inner peace and financially stable with myself before I have any kids ?,"Vallejo, CA",,
972580337216729088,lmao my fever keeps increasing by the minute and I'm still studying for bio with a 102.2 fever I LOVE COLLEGE,UC Merced,,
972578561595883520,"RT @YGfernandeez: If y?all saw any Little Mexican cousins or siblings running around with a grill like this , just know :
baby fever flying?",,,
972578222062780417,"I?m also proud you resisted using the phrase ?jungle fever?. Great ep!
#GrownIsh https://t.co/i10ujUcaRZ","San Francisco, CA",,
972566551923699713,Now playing Fever by The Cristeas!,"San Francisco, CA U.S.A.",,
972566240525918208,"If y?all saw any Little Mexican cousins or siblings running around with a grill like this , just know :
baby fever? https://t.co/OkfCM3YBDH","Modesto, CA",,
972560866183757824,My closer called out and I?m 99.9% I have a fever ??,"Aptos, CA",,
972560829265600512,I swear I been getting baby fever lately even in Hawaii?? https://t.co/18sos9kIRv,,,
